内容▲,书籍 (作者),类型,位置,日期,
prone,A Clash of Kings (George R. R. Martin),标注,945,2018/8/27 11:16,
quartered,A Clash of Kings (George R. R. Martin),标注,946,2018/8/27 11:16,
barracks,A Clash of Kings (George R. R. Martin),标注,946,2018/8/27 11:16,
insolently.,A Clash of Kings (George R. R. Martin),标注,949,2018/8/27 11:17,
"portcullis,",A Clash of Kings (George R. R. Martin),标注,952,2018/8/27 11:21,
decencies,A Clash of Kings (George R. R. Martin),标注,954,2018/8/27 11:22,
hesitant.,A Clash of Kings (George R. R. Martin),标注,955,2018/8/27 11:22,
stab.,A Clash of Kings (George R. R. Martin),标注,956,2018/8/27 11:22,
lodger.,A Clash of Kings (George R. R. Martin),标注,959,2018/8/27 11:23,
teeming,A Clash of Kings (George R. R. Martin),标注,962,2018/8/27 11:28,
raucous,A Clash of Kings (George R. R. Martin),标注,962,2018/8/27 11:28,
sprawled,A Clash of Kings (George R. R. Martin),标注,963,2018/8/27 11:28,
cudgels,A Clash of Kings (George R. R. Martin),标注,964,2018/8/27 11:31,
conspicuously,A Clash of Kings (George R. R. Martin),标注,965,2018/8/27 11:32,
peddler,A Clash of Kings (George R. R. Martin),标注,966,2018/8/27 11:32,
skewer.,A Clash of Kings (George R. R. Martin),标注,967,2018/8/27 11:32,
stale,A Clash of Kings (George R. R. Martin),标注,967,2018/8/27 11:32,
"lean,",A Clash of Kings (George R. R. Martin),标注,969,2018/8/27 11:33,
tripled,A Clash of Kings (George R. R. Martin),标注,973,2018/8/27 11:34,
stonemasons,A Clash of Kings (George R. R. Martin),标注,973,2018/8/27 11:34,
scorpions,A Clash of Kings (George R. R. Martin),标注,974,2018/8/27 11:34,
catapults,A Clash of Kings (George R. R. Martin),标注,974,2018/8/27 11:34,
fletchers,A Clash of Kings (George R. R. Martin),标注,974,2018/8/27 11:34,
treacherous,A Clash of Kings (George R. R. Martin),标注,976,2018/8/27 11:35,
cinders.,A Clash of Kings (George R. R. Martin),标注,976,2018/8/27 11:35,
altruists.,A Clash of Kings (George R. R. Martin),标注,978,2018/8/27 11:36,
troupes,A Clash of Kings (George R. R. Martin),标注,980,2018/8/27 11:36,
covetous,A Clash of Kings (George R. R. Martin),标注,981,2018/8/27 11:37,
dubious.,A Clash of Kings (George R. R. Martin),标注,985,2018/8/27 11:38,
gust,A Clash of Kings (George R. R. Martin),标注,987,2018/8/27 11:39,
merriment,A Clash of Kings (George R. R. Martin),标注,987,2018/8/27 11:39,
shoved,A Clash of Kings (George R. R. Martin),标注,987,2018/8/27 11:39,
"gushed,",A Clash of Kings (George R. R. Martin),标注,990,2018/8/27 11:40,
nimble,A Clash of Kings (George R. R. Martin),标注,994,2018/8/27 11:40,
grated,A Clash of Kings (George R. R. Martin),标注,997,2018/8/27 11:41,
vanquished.”,A Clash of Kings (George R. R. Martin),标注,998,2018/8/27 11:42,
hooted.,A Clash of Kings (George R. R. Martin),标注,1001,2018/8/27 11:45,
"exquisite,",A Clash of Kings (George R. R. Martin),标注,1008,2018/8/27 21:44,
boasts,A Clash of Kings (George R. R. Martin),标注,1011,2018/8/27 21:45,
hooted,A Clash of Kings (George R. R. Martin),标注,1016,2018/8/27 21:46,
amiable,A Clash of Kings (George R. R. Martin),标注,1017,2018/8/27 21:47,
snort,A Clash of Kings (George R. R. Martin),标注,1028,2018/8/27 21:49,
defiance,A Clash of Kings (George R. R. Martin),标注,1036,2018/8/27 21:50,
"hem,",A Clash of Kings (George R. R. Martin),标注,1039,2018/8/27 21:51,
nude,A Clash of Kings (George R. R. Martin),标注,1040,2018/8/27 21:51,
soured,A Clash of Kings (George R. R. Martin),标注,1087,2018/8/27 23:55,
the dreams he’d dreamed of knighthood had soured in his head.,A Clash of Kings (George R. R. Martin),标注,1087,2018/8/27 23:56,
turret with Rickon talking of the children of the,A Clash of Kings (George R. R. Martin),标注,1090,2018/8/27 23:56,
turret,A Clash of Kings (George R. R. Martin),标注,1090,2018/8/27 23:56,
slain,A Clash of Kings (George R. R. Martin),标注,1091,2018/8/27 23:57,
tentatively.,A Clash of Kings (George R. R. Martin),标注,1095,2018/8/27 23:58,
chiseling,A Clash of Kings (George R. R. Martin),标注,1111,2018/8/28 0:03,
granite.,A Clash of Kings (George R. R. Martin),标注,1111,2018/8/28 0:03,
tugged,A Clash of Kings (George R. R. Martin),标注,1115,2018/8/28 0:04,
wary,A Clash of Kings (George R. R. Martin),标注,1122,2018/8/28 0:05,
heed,A Clash of Kings (George R. R. Martin),标注,1124,2018/8/28 0:06,
torment,A Clash of Kings (George R. R. Martin),标注,1127,2018/8/28 0:08,
savor,A Clash of Kings (George R. R. Martin),标注,1134,2018/8/28 0:09,
plank,A Clash of Kings (George R. R. Martin),标注,1139,2018/8/28 9:11,
murky,A Clash of Kings (George R. R. Martin),标注,1141,2018/8/28 9:11,
haughtily,A Clash of Kings (George R. R. Martin),标注,1144,2018/8/28 9:12,
"shoving,",A Clash of Kings (George R. R. Martin),标注,1151,2018/8/28 9:19,
decreed,A Clash of Kings (George R. R. Martin),标注,1162,2018/8/28 9:22,
contested,A Clash of Kings (George R. R. Martin),标注,1164,2018/8/28 9:22,
moss,A Clash of Kings (George R. R. Martin),标注,1167,2018/8/28 9:28,
plundered,A Clash of Kings (George R. R. Martin),标注,1176,2018/8/28 9:35,
scooped,A Clash of Kings (George R. R. Martin),标注,1181,2018/8/28 9:35,
drowsy,A Clash of Kings (George R. R. Martin),标注,1187,2018/8/28 9:36,
blurry,A Clash of Kings (George R. R. Martin),标注,1188,2018/8/28 9:36,
sentinels,A Clash of Kings (George R. R. Martin),标注,1189,2018/8/28 9:36,
gnarled,A Clash of Kings (George R. R. Martin),标注,1189,2018/8/28 9:36,
intoxicating;,A Clash of Kings (George R. R. Martin),标注,1193,2018/8/28 9:37,
Slaver,A Clash of Kings (George R. R. Martin),标注,1195,2018/8/28 12:08,
chittering,A Clash of Kings (George R. R. Martin),标注,1196,2018/8/28 12:08,
speck,A Clash of Kings (George R. R. Martin),标注,1200,2018/8/28 12:44,
Speckled,A Clash of Kings (George R. R. Martin),标注,1200,2018/8/28 12:44,
splintery,A Clash of Kings (George R. R. Martin),标注,1201,2018/8/28 12:44,
Snarls,A Clash of Kings (George R. R. Martin),标注,1203,2018/8/28 12:44,
stout,A Clash of Kings (George R. R. Martin),标注,1208,2018/8/30 0:15,
"anvil,",A Clash of Kings (George R. R. Martin),标注,1213,2018/8/30 0:21,
"weary,",A Clash of Kings (George R. R. Martin),标注,1214,2018/8/30 0:21,
wary,A Clash of Kings (George R. R. Martin),标注,1214,2018/8/30 0:22,
"dirks,",A Clash of Kings (George R. R. Martin),标注,1216,2018/8/30 0:22,
scythes,A Clash of Kings (George R. R. Martin),标注,1216,2018/8/30 0:22,
"limbs,",A Clash of Kings (George R. R. Martin),标注,1217,2018/8/30 0:23,
scarecrow,A Clash of Kings (George R. R. Martin),标注,1220,2018/8/30 0:24,
sleek,A Clash of Kings (George R. R. Martin),标注,1221,2018/8/30 0:24,
reined,A Clash of Kings (George R. R. Martin),标注,1221,2018/8/30 0:24,
crooked,A Clash of Kings (George R. R. Martin),标注,1222,2018/8/30 0:25,
spat.,A Clash of Kings (George R. R. Martin),标注,1223,2018/8/30 0:25,
mound,A Clash of Kings (George R. R. Martin),标注,1223,2018/8/30 0:25,
leagues,A Clash of Kings (George R. R. Martin),标注,1224,2018/8/30 0:25,
acorns,A Clash of Kings (George R. R. Martin),标注,1232,2018/8/30 0:29,
tankards,A Clash of Kings (George R. R. Martin),标注,1237,2018/8/30 0:30,
"fetters,",A Clash of Kings (George R. R. Martin),标注,1237,2018/8/30 0:30,
supped,A Clash of Kings (George R. R. Martin),标注,1238,2018/8/30 0:31,
filching,A Clash of Kings (George R. R. Martin),标注,1239,2018/8/30 0:31,
pinch,A Clash of Kings (George R. R. Martin),标注,1240,2018/8/30 0:31,
bunch,A Clash of Kings (George R. R. Martin),标注,1246,2018/8/30 0:33,
sloshed,A Clash of Kings (George R. R. Martin),标注,1260,2018/8/30 0:35,
lair,A Clash of Kings (George R. R. Martin),标注,1266,2018/8/30 0:38,
blurted,A Clash of Kings (George R. R. Martin),标注,1267,2018/8/30 0:39,
greensick,A Clash of Kings (George R. R. Martin),标注,1269,2018/8/30 0:39,
"shove,",A Clash of Kings (George R. R. Martin),标注,1271,2018/8/30 0:39,
"Warily,",A Clash of Kings (George R. R. Martin),标注,1274,2018/8/30 0:39,
bracelets.”,A Clash of Kings (George R. R. Martin),标注,1276,2018/8/30 0:40,
flinched,A Clash of Kings (George R. R. Martin),标注,1281,2018/8/30 0:41,
filed,A Clash of Kings (George R. R. Martin),标注,1288,2018/8/30 0:43,
charmed?”,A Clash of Kings (George R. R. Martin),标注,1290,2018/8/30 0:44,
manacles,A Clash of Kings (George R. R. Martin),标注,1292,2018/8/30 0:45,
pewter,A Clash of Kings (George R. R. Martin),标注,1293,2018/8/30 0:45,
pimple.,A Clash of Kings (George R. R. Martin),标注,1293,2018/8/30 0:45,
bunghole,A Clash of Kings (George R. R. Martin),标注,1295,2018/8/30 0:45,
"wolverine,",A Clash of Kings (George R. R. Martin),标注,1296,2018/8/30 0:46,
clanking,A Clash of Kings (George R. R. Martin),标注,1298,2018/8/30 0:46,
reeled,A Clash of Kings (George R. R. Martin),标注,1299,2018/8/30 0:46,
"taut,",A Clash of Kings (George R. R. Martin),标注,1300,2018/8/30 0:46,
scuffed,A Clash of Kings (George R. R. Martin),标注,1307,2018/8/30 0:47,
enamel,A Clash of Kings (George R. R. Martin),标注,1317,2018/8/30 0:49,
"hedge,",A Clash of Kings (George R. R. Martin),标注,1328,2018/8/30 0:50,
them rocks and sticks before you get spanked.,A Clash of Kings (George R. R. Martin),标注,1346,2018/8/30 0:52,
spanked.,A Clash of Kings (George R. R. Martin),标注,1346,2018/8/30 0:52,
jabbed,A Clash of Kings (George R. R. Martin),标注,1351,2018/8/30 0:56,
"gutcutter,",A Clash of Kings (George R. R. Martin),标注,1354,2018/8/30 0:53,
scamper,A Clash of Kings (George R. R. Martin),标注,1357,2018/8/30 0:54,
hilt,A Clash of Kings (George R. R. Martin),标注,1363,2018/8/30 0:55,
scowled,A Clash of Kings (George R. R. Martin),标注,1365,2018/8/30 0:55,
taper,A Clash of Kings (George R. R. Martin),标注,1374,2018/8/31 11:39,
wending,A Clash of Kings (George R. R. Martin),标注,1375,2018/8/31 11:40,
"among shadows, dark of hair, long of face,",A Clash of Kings (George R. R. Martin),标注,1376,2018/8/30 0:57,
moleskin,A Clash of Kings (George R. R. Martin),标注,1376,2018/8/31 11:40,
hunched,A Clash of Kings (George R. R. Martin),标注,1377,2018/8/31 11:41,
Rast,A Clash of Kings (George R. R. Martin),标注,1380,2018/8/31 11:49,
sausages,A Clash of Kings (George R. R. Martin),标注,1385,2018/8/31 11:51,
plump,A Clash of Kings (George R. R. Martin),标注,1385,2018/8/31 11:51,
Dorren Stark,A Clash of Kings (George R. R. Martin),标注,1389,2018/8/31 11:58,
"delicately,",A Clash of Kings (George R. R. Martin),标注,1391,2018/8/31 11:59,
jumble.,A Clash of Kings (George R. R. Martin),标注,1394,2018/8/31 12:00,
"crumbling,”",A Clash of Kings (George R. R. Martin),标注,1396,2018/8/31 12:00,
blurted.,A Clash of Kings (George R. R. Martin),标注,1405,2018/8/31 12:02,
seasoned,A Clash of Kings (George R. R. Martin),标注,1409,2018/8/31 12:03,
"jests,",A Clash of Kings (George R. R. Martin),标注,1412,2018/8/31 12:04,
lather,A Clash of Kings (George R. R. Martin),标注,1412,2018/8/31 12:05,
subterranean,A Clash of Kings (George R. R. Martin),标注,1425,2018/8/31 12:16,
subterranean passages that linked the keeps and,A Clash of Kings (George R. R. Martin),标注,1426,2018/8/31 12:16,
harbinger,A Clash of Kings (George R. R. Martin),标注,1428,2018/8/31 12:22,
wattle-and-daub,A Clash of Kings (George R. R. Martin),标注,1432,2018/8/31 12:30,
"granary,",A Clash of Kings (George R. R. Martin),标注,1432,2018/8/31 12:30,
squinted,A Clash of Kings (George R. R. Martin),标注,1433,2018/8/31 12:31,
wont,A Clash of Kings (George R. R. Martin),标注,1434,2018/8/31 12:31,
pitted,A Clash of Kings (George R. R. Martin),标注,1435,2018/8/31 12:32,
timbered,A Clash of Kings (George R. R. Martin),标注,1436,2018/8/31 12:32,
shrunk,A Clash of Kings (George R. R. Martin),标注,1436,2018/8/31 12:32,
streaked,A Clash of Kings (George R. R. Martin),标注,1438,2018/8/31 12:32,
dubbed,A Clash of Kings (George R. R. Martin),标注,1438,2018/8/31 12:33,
shading,A Clash of Kings (George R. R. Martin),标注,1440,2018/8/31 12:34,
brothel,A Clash of Kings (George R. R. Martin),标注,1442,2018/8/31 12:34,
Halder,A Clash of Kings (George R. R. Martin),标注,1442,2018/8/31 12:35,
"armory,",A Clash of Kings (George R. R. Martin),标注,1448,2018/8/31 12:37,
foppish,A Clash of Kings (George R. R. Martin),标注,1450,2018/9/2 7:07,
"clubfoot,",A Clash of Kings (George R. R. Martin),标注,1450,2018/9/2 7:08,
loon,A Clash of Kings (George R. R. Martin),标注,1450,2018/9/2 7:08,
bruises.,A Clash of Kings (George R. R. Martin),标注,1452,2018/9/2 7:09,
winced,A Clash of Kings (George R. R. Martin),标注,1452,2018/9/2 7:09,
bullrushed,A Clash of Kings (George R. R. Martin),标注,1455,2018/9/2 7:11,
sprawling.,A Clash of Kings (George R. R. Martin),标注,1455,2018/9/2 7:11,
"brigand,",A Clash of Kings (George R. R. Martin),标注,1456,2018/9/2 8:02,
tidings,A Clash of Kings (George R. R. Martin),标注,1458,2018/9/2 8:02,
cupped,A Clash of Kings (George R. R. Martin),标注,1461,2018/9/2 8:03,
"brittle,",A Clash of Kings (George R. R. Martin),标注,1468,2018/9/2 8:07,
sinewy,A Clash of Kings (George R. R. Martin),标注,1480,2018/9/2 11:51,
scraggle,A Clash of Kings (George R. R. Martin),标注,1481,2018/9/2 16:07,
"henchmen,",A Clash of Kings (George R. R. Martin),标注,1481,2018/9/2 16:07,
effrontery,A Clash of Kings (George R. R. Martin),标注,1491,2018/9/2 16:11,
cozen,A Clash of Kings (George R. R. Martin),标注,1494,2018/9/2 16:12,
"stammered,",A Clash of Kings (George R. R. Martin),标注,1496,2018/9/3 10:24,
preening.,A Clash of Kings (George R. R. Martin),标注,1501,2018/9/3 10:25,
butchered,A Clash of Kings (George R. R. Martin),标注,1502,2018/9/3 10:25,
weasel,A Clash of Kings (George R. R. Martin),标注,1504,2018/9/3 10:26,
lair,A Clash of Kings (George R. R. Martin),标注,1504,2018/9/3 10:26,
brusque,A Clash of Kings (George R. R. Martin),标注,1505,2018/9/3 10:26,
folly.,A Clash of Kings (George R. R. Martin),标注,1505,2018/9/3 10:27,
scurried,A Clash of Kings (George R. R. Martin),标注,1506,2018/9/3 10:27,
dispatch,A Clash of Kings (George R. R. Martin),标注,1508,2018/9/3 10:28,
heed,A Clash of Kings (George R. R. Martin),标注,1508,2018/9/3 10:28,
Arnell.,A Clash of Kings (George R. R. Martin),标注,1509,2018/9/3 10:28,
"steadier,",A Clash of Kings (George R. R. Martin),标注,1509,2018/9/3 10:28,
roughhewn,A Clash of Kings (George R. R. Martin),标注,1511,2018/9/3 10:30,
planks,A Clash of Kings (George R. R. Martin),标注,1512,2018/9/3 10:30,
grisly,A Clash of Kings (George R. R. Martin),标注,1514,2018/9/3 10:31,
snorted.,A Clash of Kings (George R. R. Martin),标注,1517,2018/9/3 10:31,
peeled,A Clash of Kings (George R. R. Martin),标注,1519,2018/9/3 10:32,
mottled,A Clash of Kings (George R. R. Martin),标注,1520,2018/9/3 10:33,
salve,A Clash of Kings (George R. R. Martin),标注,1521,2018/9/3 10:33,
flexed,A Clash of Kings (George R. R. Martin),标注,1522,2018/9/3 10:33,
"nimble,",A Clash of Kings (George R. R. Martin),标注,1523,2018/9/3 10:34,
pact,A Clash of Kings (George R. R. Martin),标注,1526,2018/9/3 10:35,
"wizened,",A Clash of Kings (George R. R. Martin),标注,1532,2018/9/3 10:36,
mishap.,A Clash of Kings (George R. R. Martin),标注,1534,2018/9/3 10:37,
pox,A Clash of Kings (George R. R. Martin),标注,1543,2018/9/3 10:39,
gruesome,A Clash of Kings (George R. R. Martin),标注,1544,2018/9/3 10:40,
absolve,A Clash of Kings (George R. R. Martin),标注,1551,2018/9/3 10:42,
sane,A Clash of Kings (George R. R. Martin),标注,1551,2018/9/3 10:42,
strutting,A Clash of Kings (George R. R. Martin),标注,1556,2018/9/3 10:43,
"satins,",A Clash of Kings (George R. R. Martin),标注,1566,2018/9/3 10:46,
velvets,A Clash of Kings (George R. R. Martin),标注,1566,2018/9/3 10:46,
praise,A Clash of Kings (George R. R. Martin),标注,1568,2018/9/3 10:46,
deeds,A Clash of Kings (George R. R. Martin),标注,1569,2018/9/3 10:47,
taut,A Clash of Kings (George R. R. Martin),标注,1570,2018/9/3 10:47,
bowstring.,A Clash of Kings (George R. R. Martin),标注,1570,2018/9/3 10:47,
circlet,A Clash of Kings (George R. R. Martin),标注,1577,2018/9/3 10:49,
incised,A Clash of Kings (George R. R. Martin),标注,1577,2018/9/3 10:49,
surmounted,A Clash of Kings (George R. R. Martin),标注,1577,2018/9/3 10:49,
wrought,A Clash of Kings (George R. R. Martin),标注,1577,2018/9/3 10:50,
auburn,A Clash of Kings (George R. R. Martin),标注,1580,2018/9/3 10:50,
"elkhound,",A Clash of Kings (George R. R. Martin),标注,1591,2018/9/3 10:54,
scrambled,A Clash of Kings (George R. R. Martin),标注,1594,2018/9/3 10:55,
alacrity,A Clash of Kings (George R. R. Martin),标注,1594,2018/9/3 10:55,
brook,A Clash of Kings (George R. R. Martin),标注,1596,2018/9/3 10:56,
gaunt,A Clash of Kings (George R. R. Martin),标注,1610,2018/9/3 11:03,
shove,A Clash of Kings (George R. R. Martin),标注,1610,2018/9/3 11:03,
crypts,A Clash of Kings (George R. R. Martin),标注,1617,2018/9/3 11:04,
jest,A Clash of Kings (George R. R. Martin),标注,1626,2018/9/4 8:46,
privy,A Clash of Kings (George R. R. Martin),标注,1627,2018/9/4 8:46,
renounce,A Clash of Kings (George R. R. Martin),标注,1627,2018/9/4 8:46,
vassal,A Clash of Kings (George R. R. Martin),标注,1629,2018/9/4 8:47,
"raiding,",A Clash of Kings (George R. R. Martin),标注,1633,2018/9/4 8:49,
pillage.,A Clash of Kings (George R. R. Martin),标注,1633,2018/9/4 8:49,
"fealty,",A Clash of Kings (George R. R. Martin),标注,1634,2018/9/4 8:53,
"and now other voices took up the cry. “Stark, Stark, King in the North!” The direwolf threw back his head and howled. Ser Cleos had gone the color of curdled",A Clash of Kings (George R. R. Martin),标注,1640,2018/9/4 8:57,
curdled,A Clash of Kings (George R. R. Martin),标注,1640,2018/9/4 8:57,
japery,A Clash of Kings (George R. R. Martin),标注,1645,2018/9/4 8:57,
wager,A Clash of Kings (George R. R. Martin),标注,1649,2018/9/4 8:58,
pestilence,A Clash of Kings (George R. R. Martin),标注,1650,2018/9/4 9:01,
dwindles,A Clash of Kings (George R. R. Martin),标注,1652,2018/9/4 9:01,
warrant.,A Clash of Kings (George R. R. Martin),标注,1671,2018/9/4 9:05,
